STOCK #,LOT,YR,BRAND,MODEL,D,LST PRC,MIN TAKE,WEB PRC,CHASSI
61174,LA,6,SIERRA,315BHT,C,"27,986","19,990",0,121589
69340,LA,21,CARBON,F348,N,"107,100","89,990",0,805572
69334,RD,21,CARBON,F358,N,"107,400","89,990",0,805520
64956,RD,20,CRUISER AIRE,28BH,N,"58,900","49,990",0,320509
69201,LA,21,CRUISER AIRE,31SI,N,"72,400","59,990",0,320891
69202,LA,21,CRUISER AIRE,32BH,N,"71,500","59,990",0,321223
65208,LA,20,CRUSADER,330MBH,N,"88,691","74,990","66,990",125360
64455,LA,20,EAGLE HT,25.5REOK,N,"74,433","63,990","49,777",PA0158
64540,RD,20,EAGLE HT,28.5RSTS,N,"88,596","74,990","66,990",PR0480
64557,RD,20,EAGLE HT,30.5MBOK,N,"90,930","76,990","67,990",P70142
69341,LA,21,RAPTOR,F413,N,"142,000","119,990",0,800895
65207A,LA,5,CEDAR CRE,29LRGBS,U,"15,380","14,990",0,192444
48585B,LA,4,JAY FLIGHT,26.5,U,"18,250","16,990","11,777",ES0234
54307A,RD,11,LANDMARK,GRAND C,U,"48,166","46,990","44,777",235887
56877A,LA,14,SUNDANCE,3000CK,U,"32,915","29,990",0,271319
70869,LA,14,ZINGER,F29RK,U,"29,456","26,990",0,977
64835,LA,20,SPORTSCOA,365RB,N,"307,777","259,990","249,990",MF5200
60325,RD,20,ADVENTURER,19RD*19,R,"82,990","76,990",0,C03642
60327,LA,20,ADVENTURER,19RD*19,R,"82,990","76,990",0,C03644
60392,LA,20,ADVENTURER,19RD*19,R,"82,990","76,990",0,C03712
56514,LAW,19,ADVENTURER,23RB*18,R,"78,990","72,990",0,C01864
56550,LA,19,ADVENTURER,23RB*18,R,"78,990","72,990",0,C10219
60563,LA,20,ADVENTURER,23RB*19,R,"83,990","77,990",0,C16743
51755,RD,18,ADVENTURER,24DS*17,R,"76,990","70,990",0,C18056
56384,LA,19,ADVENTURER,24DS*18,R,"85,990","79,990",0,C01935
56433,LA,19,ADVENTURER,24DS*18,R,"88,990","81,990",0,CO5078
64481,LA,20,CAMP 365,365M,N,"44,522","37,990","32,990",20017
65747,RD,20,CAMP 365,365M,N,"40,046","34,990","29,990",20014
66869,RD,21,ADVENTURER,80RB,N,"37,837","31,990",0,19847
59904,RD,19,ADVENTURER,86FB,R,"32,990","30,990",0,19117
55354,LA,18,ADVENTURER,86SBS,R,"31,990","30,990",0,18648
59970,RD,19,ADVENTURER,89RB,R,"33,990","31,990",0,19229
62155,LA,8,SIERRA,301BHD,C,"19,243","17,990",0,122264
64441,RD,20,ALTA,2100MBH,N,"45,974","39,990","36,990",1343
68094,RD,21,ALTA,2600KRB,N,"50,488","43,990",0,2333
70159,LA,21,AMERI-LITE,197BH,N,"29,100",0,0,682
70162,LA,21,AMERI-LITE,197BH,N,"29,100",0,0,681
70164,RD,21,AMERI-LITE,197BH,N,"30,768","25,990",0,412
70149,LA,21,AMERI-LITE,199DD,N,"26,908","24,990",0,149178
70151,LA,21,AMERI-LITE,199DD,N,"28,173","24,990",0,149175
70152,RD,21,AMERI-LITE,199DD,N,"28,173","24,990",0,149176
70155,RD,21,AMERI-LITE,199DD,N,"28,073","24,990",0,149177
66564,LA,21,AMERI-LITE,238RK,N,"38,652","31,990",0,143738
66574,RD,21,AMERI-LITE,268BH,N,"39,315","32,990",0,143437
70167,LA,21,AMERI-LITE,274QB,N,"41,500",0,0,144891
70169,LA,21,AMERI-LITE,274QB,N,"42,597","36,990",0,144889
61923,RD,20,AVENGER,21RB,N,"33,514","28,990","23,777",924554
61921,LA,20,AVENGER,27RKS,N,"42,000","35,990","29,777",924489
69203,LA,21,CRUISER AIRE,28BBH,N,"54,900","46,990",0,321144
64242,LA,20,DELLA TERRA,230RB,N,"34,822","28,990","26,777",2887
66383,RD,21,DELLA TERRA,261RB,N,"41,100","34,990",0,4971
66384,LA,21,DELLA TERRA,261RB,N,"40,800","34,990",0,5940
64314,RD,20,DELLA TERRA,281BH,N,"43,500","36,990","35,990",2736
65243,RD,20,DELLA TERRA,28KBS,N,"44,433","38,990","34,990",1393
59228,LA,19,EAGLE,330RSTS,N,"91,335","77,990","59,777",EA0281
64430,RD,20,JAY FLIGHT,237RBS,N,"41,766","35,990","32,990",730199
64448,LA,20,JAY FLIGHT,237RBS,N,"41,865","35,990","29,777",730200
64449,LA,20,JAY FLIGHT,237RBS,N,"41,875","35,990","29,777",730201
68467,LA,21,JAY FLIGHT,242BHSW,N,"42,000",0,0,5R0276
64453,RD,20,JAY FLIGHT,24RBS,N,"44,669","37,990","29,777",T80522
68389,LA,21,JAY FLIGHT,264BHW,N,"37,300","33,990",0,5V0416
68471,LA,21,JAY FLIGHT,265RLS,N,"44,447","38,990",0,7Y0625
68478,RD,21,JAY FLIGHT,265TH,N,"43,034","38,990",0,780166
68366,LA,21,JAY FLIGHT,275RLSW,N,"44,500","39,990",0,5Y0101
68350,LA,21,JAY FLIGHT,287BHSW,N,"47,160","39,990",0,5X0090
64544,RD,20,JAY FLIGHT,28RLS,N,"50,753","42,990","35,777",T70257
64554,RD,20,JAY FLIGHT,29RKS,N,"52,974","44,990","37,777",TA0238
64555,LA,20,JAY FLIGHT,29RKS,N,"53,054","44,990","37,777",TA0239
64560,RD,20,JAY FLIGHT,32RLOK,N,"60,472","51,990","39,777",TF0148
68375,LA,21,MICRO,171BH,N,"39,531","34,990",0,JK0148
68441,LA,21,OCTANE,222,N,"57,542","49,990",0,V20104
64547,LA,20,OCTANE,293,N,"69,534","59,990","54,990",VY0124
61968,LA,20,TRACER,260KS,N,"56,398","47,990","39,777",516452
61969,RD,20,TRACER,260KS,N,"56,165","47,990","39,777",516453
61974,RD,20,TRACER,31BHD,N,"53,545","45,990","38,777",516511
62971A,LA,8,CONQUEST,295BHS,U,"17,500","14,990",0,94510
64427A,LA,2,CRUISER,C22,U,"5,990","3,990",0,102007
66565A,RD,19,HIDEOUT,178LHS,U,"24,000","21,990",0,241254
64404A,LA,19,HIDEOUT,21 HLSW,U,"29,700","27,990",0,245937
68435A,LA,13,JAYFEATHER,X20E,U,"22,500","19,990",0,JE0162
64452A,LA,8,OKANAGAN,29RBS,U,"20,625","18,990",0,82946
52914,RD,18,TRIBUTE,TS*17-H,R,"154,785","119,990",0,A32750
62117,RD,20,TRIBUTE,TS*19,R,"118,990","109,990",0,A44395
49056A,LA,97,WILDWOOD,27RLS,U,"112,990","101,777",0,123456
